"","Year","Size","Distance","Replicate","Rhat"
"1",2023,"Small",6,"2",2.96
"2",2023,"Small",6,"1",15.99
"3",2023,"Large",6,"1",19.89
"4",2023,"Large",2,"1",18.98
"5",2023,"Small",2,"1",12.36
"6",2019,"Small",2,"1",12.12
"7",2019,"Small",6,"1",4.47
"8",2019,"Large",2,"1",19.61
"9",2019,"Large",2,"2",20.01
"10",2019,"Small",2,"2",12.73
"11",2019,"Small",6,"2",12.41
"12",2018,"Small",2,"1",9.967
"13",2018,"Large",2,"1",17.35
"14",2018,"Small",4,"1",14.42
"15",2018,"Large",4,"1",18.48
"16",2018,"Small",6,"1",7.67
"17",2018,"Large",6,"1",NA
