"","Degrasse - 1","Degrasse - 2","Degrasse - 3","Donnerville - 1","Donnerville - 2","Donnerville - 3","Kip tract - 1","Kip tract - 2","Kip tract - 3","Peavine Swamp - 1","Peavine Swamp - 2","Peavine Swamp - 3","South Hammond - 1","South Hammond - 2","South Hammond - 3"
"Degrasse - 1",3,2,3,0,1,1,2,0,0,1,1,1,1,1,1
"Degrasse - 2",0.67,2,2,0,0,0,1,0,0,0,0,0,1,1,1
"Degrasse - 3",1,0.67,3,0,1,1,2,0,0,1,1,1,1,1,1
"Donnerville - 1",0,0,0,4,3,1,1,2,1,1,2,2,2,1,1
"Donnerville - 2",0.12,0,0.12,0.43,6,3,3,2,1,2,3,3,2,1,3
"Donnerville - 3",0.14,0,0.14,0.12,0.38,5,2,1,2,1,2,3,0,1,1
"Kip tract - 1",0.4,0.2,0.4,0.14,0.43,0.29,4,1,1,2,2,2,2,1,2
"Kip tract - 2",0,0,0,0.29,0.22,0.11,0.12,5,3,1,2,2,1,0,0
"Kip tract - 3",0,0,0,0.09,0.08,0.18,0.09,0.3,8,1,1,2,1,2,0
"Peavine Swamp - 1",0.2,0,0.2,0.17,0.29,0.14,0.4,0.14,0.1,3,2,2,1,0,0
"Peavine Swamp - 2",0.2,0,0.2,0.4,0.5,0.33,0.4,0.33,0.1,0.5,3,3,1,0,0
"Peavine Swamp - 3",0.17,0,0.17,0.33,0.43,0.5,0.33,0.29,0.2,0.4,0.75,4,1,0,0
"South Hammond - 1",0.14,0.17,0.14,0.29,0.22,0,0.29,0.11,0.08,0.14,0.14,0.12,5,4,4
"South Hammond - 2",0.12,0.14,0.12,0.11,0.09,0.1,0.11,0,0.17,0,0,0,0.57,6,4
"South Hammond - 3",0.11,0.12,0.11,0.1,0.3,0.09,0.22,0,0,0,0,0,0.5,0.44,7
