"","C1 - SD23","C10 - SD25","C10 - SD35","C11 - SD13","C14 - SD17","C14 - SD22","C14 - SD25","C14 - SD5","C15 - SD14","C15 - SD16","C15 - SD35","C15 - SD6","C17 - SD24","C17 - SD26","C17 - SD8","C18 - SD16","C18 - SD40","C2 - SD42","C2 - SD7","C21 - SD1","C21 - SD21","C21 - SD40","C22 - SD18","C22 - SD31","C23 - SD16","C23 - SD24","C23 - SD3","C23 - SD32","C24 - SD18","C24 - SD4","C25 - SD38","C25 - SD6","C25 - SD9","C27 - SD3","C27 - SD35","C27 - SD41","C27 - SD8","C28 - SD1","C28 - SD15","C28 - SD38","C29 - SD12","C29 - SD19","C3 - SD39","C3 - SD5","C3 - SD7","C30 - SD17","C30 - SD22","C31 - SD15","C31 - SD3","C31 - SD41","C31 - SD6","C32 - SD13","C32 - SD17","C32 - SD26","C32 - SD39","C33 - SD1","C33 - SD23","C33 - SD32","C33 - SD38","C34 - SD21","C35 - SD16","C36 - SD32","C37 - SD31","C4 - SD12","C4 - SD26","C4 - SD36","C5 - SD34","C6 - SD41","C7 - SD42","C8 - SD11","C9 - SD25"
"C1 - SD23",7,1,4,3,3,3,2,2,2,4,2,4,3,5,4,4,4,4,1,1,0,6,3,4,1,3,3,4,3,1,0,2,4,1,1,2,2,3,1,2,2,3,2,1,1,1,3,4,3,3,1,3,3,3,2,3,5,1,5,4,2,5,6,3,2,2,2,2,6,1,1
"C10 - SD25",0.143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C10 - SD35",0.5,0.2,5,3,2,2,2,1,1,5,1,3,3,3,3,2,4,2,2,1,1,4,1,2,1,4,3,4,3,2,1,1,3,1,1,3,2,4,0,1,1,1,1,1,1,1,3,4,2,1,1,2,2,3,1,1,4,1,2,3,3,3,4,4,1,1,2,1,5,1,2
"C11 - SD13",0.273,0.143,0.333,7,3,2,1,2,1,5,3,5,2,3,5,2,5,2,1,1,1,3,2,3,2,5,2,3,5,2,3,1,3,1,1,2,2,3,1,1,1,3,1,1,1,1,3,4,1,2,1,2,3,5,2,2,3,1,2,2,3,4,5,3,1,2,1,1,5,1,2
"C14 - SD17",0.375,0.25,0.286,0.375,4,3,2,2,1,3,3,3,2,4,4,3,3,3,1,1,0,3,2,2,2,2,2,3,4,1,1,1,1,1,1,2,2,3,1,1,1,3,1,1,1,1,3,3,2,2,1,1,2,3,2,2,3,1,3,1,2,3,3,2,1,2,2,1,4,1,1
"C14 - SD22",0.333,0.2,0.25,0.2,0.5,5,3,2,2,4,2,3,2,4,4,3,5,3,1,2,1,2,2,3,3,2,4,5,3,1,1,2,3,1,2,2,2,4,0,2,2,2,2,1,1,1,4,5,3,1,1,2,2,2,1,2,2,1,4,2,2,3,3,2,2,1,2,3,4,1,1
"C14 - SD25",0.25,0.333,0.333,0.111,0.4,0.6,3,2,1,3,1,1,2,3,2,2,3,2,1,2,1,2,1,1,2,1,3,3,2,1,0,1,2,1,2,2,2,3,0,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,2,1,3,1,2,1,1,2,1,1,2,2,2,1,1
"C14 - SD5",0.25,0.333,0.143,0.25,0.4,0.333,0.5,3,1,2,2,2,1,3,2,2,2,2,0,2,1,2,2,1,2,1,2,2,2,1,0,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,3,1,1,2,2,1,1,2,1,2,2,1,1
"C15 - SD14",0.286,0.5,0.167,0.125,0.2,0.4,0.25,0.25,2,1,1,2,1,1,2,2,2,2,0,1,0,1,2,2,1,1,2,2,1,1,0,2,2,1,1,1,1,1,0,2,2,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,1,1
"C15 - SD16",0.364,0.125,0.625,0.5,0.333,0.444,0.375,0.222,0.111,8,2,4,3,5,4,2,7,2,2,2,2,4,1,3,3,6,4,6,4,2,3,1,4,1,2,3,2,6,0,1,1,2,1,1,1,1,4,6,2,1,1,2,2,5,1,1,4,1,3,3,3,4,5,4,1,1,2,2,6,1,2
"C15 - SD35",0.25,0.333,0.143,0.429,0.75,0.333,0.2,0.5,0.25,0.222,3,3,1,3,3,2,2,2,0,1,0,2,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,2,1,2,1,1,2,3,2,2,2,1,2,1,1,3,3,1,1,2,1,1,3,1,1
"C15 - SD6",0.364,0.125,0.3,0.5,0.333,0.3,0.1,0.222,0.25,0.333,0.375,8,2,4,7,3,4,3,2,1,1,4,3,3,2,4,3,5,5,2,2,2,3,1,1,3,2,5,1,2,2,3,2,1,1,1,5,4,3,2,1,2,4,6,2,3,3,1,3,5,3,7,6,2,2,3,1,3,6,1,2
"C17 - SD24",0.375,0.25,0.5,0.222,0.333,0.286,0.4,0.167,0.2,0.333,0.167,0.2,4,3,3,2,3,2,2,1,1,3,1,2,1,2,3,3,3,2,1,1,3,1,1,3,2,3,0,1,1,2,1,1,1,1,3,3,2,2,1,1,2,2,1,1,2,1,3,3,3,3,3,3,1,1,2,1,3,1,2
"C17 - SD26",0.455,0.111,0.273,0.231,0.444,0.4,0.333,0.333,0.1,0.417,0.333,0.308,0.3,9,4,3,4,3,1,2,1,5,2,3,3,3,3,6,4,1,1,1,3,1,2,2,2,6,1,1,1,4,1,1,1,1,3,5,3,3,1,1,2,4,2,2,4,1,5,4,2,6,5,2,1,2,2,2,5,1,1
"C17 - SD8",0.364,0.125,0.3,0.5,0.5,0.444,0.222,0.222,0.25,0.333,0.375,0.778,0.333,0.308,8,4,5,4,3,1,1,4,3,3,2,3,4,5,6,2,2,2,3,1,1,4,3,5,1,2,2,3,2,1,1,1,6,5,4,2,1,2,4,5,2,3,3,1,4,4,4,6,5,3,2,3,2,3,6,1,2
"C18 - SD16",0.571,0.25,0.286,0.222,0.6,0.5,0.4,0.4,0.5,0.2,0.4,0.333,0.333,0.3,0.5,4,3,4,1,1,0,3,3,2,1,1,3,3,3,1,0,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,3,3,3,2,1,2,3,2,2,3,3,1,4,2,2,3,3,2,2,2,2,2,4,1,1
"C18 - SD40",0.364,0.125,0.444,0.5,0.333,0.625,0.375,0.222,0.25,0.778,0.222,0.333,0.333,0.308,0.455,0.333,8,3,2,2,2,3,2,4,3,5,5,6,4,2,3,2,5,1,2,3,2,5,0,2,2,2,2,1,1,1,5,7,3,1,1,3,3,4,1,2,3,1,4,3,3,4,5,4,2,1,2,3,6,1,2
"C2 - SD42",0.571,0.25,0.286,0.222,0.6,0.5,0.4,0.4,0.5,0.2,0.4,0.333,0.333,0.3,0.5,1,0.333,4,1,1,0,3,3,2,1,1,3,3,3,1,0,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,3,3,3,2,1,2,3,2,2,3,3,1,4,2,2,3,3,2,2,2,2,2,4,1,1
"C2 - SD7",0.1,0,0.286,0.1,0.143,0.125,0.167,0,0,0.2,0,0.2,0.333,0.083,0.333,0.143,0.2,0.143,4,0,1,2,0,0,0,1,2,2,2,1,1,0,1,0,0,3,1,4,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,2,0,0,1,0,1,2,2,2,2,2,0,1,1,1,2,0,1
