ID,Forest,Plot,Fagus.grandifolia,Pinus.resinosa,Pinus.strobus,Acer.rubrum,Acer.saccharum,Fraxinus.americana,Populus.tremuloides,Amelanchier.spp.,Prunus.serotina,Betula.alleghaniensis,Ostrya.virginiana,Acer.saccharinum,Fraxinus.nigra,Ulmus.americana,Carpinus.carolineana,Fraxinus.pennsylvanica,Tilia.americana,Picea.rubens,Quercus.alba,Quercus.rubra,Carya.ovata
1,Degrasse,1,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Degrasse,2,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Degrasse,3,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Donnerville,1,0,0,0,7,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Donnerville,2,4,0,0,5,4,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
6,Donnerville,3,1,0,0,0,10,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
7,Kip tract,1,5,0,1,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Kip tract,2,0,0,0,3,1,0,0,0,0,0,0,12,3,1,0,0,0,0,0,0,0
9,Kip tract,3,0,0,0,2,0,0,0,0,0,7,2,0,2,3,1,2,2,0,0,0,0
10,Peavine Swamp,1,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
11,Peavine Swamp,2,8,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Peavine Swamp,3,4,0,0,3,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13,South Hammond,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0
14,South Hammond,2,0,0,7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,12,0
15,South Hammond,3,0,0,9,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,9,2
